Time,Source,Destination,Protocol,Length,Info
1970-01-01 00:00:00.000000000,172.16.0.8,64.13.134.52,TCP,58,36050  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.001539000,172.16.0.8,64.13.134.52,TCP,58,36050  >  143 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.001597000,172.16.0.8,64.13.134.52,TCP,58,36050  >  3306 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:00.001650000,172.16.0.8,64.13.134.52,TCP,58,36050  >  199 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.001703000,172.16.0.8,64.13.134.52,TCP,58,36050  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:00.001755000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1025 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:00.001807000,172.16.0.8,64.13.134.52,TCP,58,36050  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:00.001861000,172.16.0.8,64.13.134.52,TCP,58,36050  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:00.001913000,172.16.0.8,64.13.134.52,TCP,58,36050  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.001965000,172.16.0.8,64.13.134.52,TCP,58,36050  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:00.063797000,64.13.134.52,172.16.0.8,TCP,60,"53  >  36050 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380"
1970-01-01 00:00:00.065270999,172.16.0.8,64.13.134.52,TCP,58,36050  >  21 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:00.065341000,172.16.0.8,64.13.134.52,TCP,58,36050  >  113 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:00.126832000,64.13.134.52,172.16.0.8,TCP,60,"113  >  36050 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1970-01-01 00:00:00.129000000,172.16.0.8,64.13.134.52,TCP,58,36050  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.129075000,172.16.0.8,64.13.134.52,TCP,58,36050  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:00.189975000,64.13.134.52,172.16.0.8,TCP,60,"80  >  36050 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380"
1970-01-01 00:00:00.191518000,172.16.0.8,64.13.134.52,TCP,58,36050  >  3389 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:00.191589000,172.16.0.8,64.13.134.52,TCP,58,36050  >  23 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.202878000,172.16.0.8,64.13.134.52,TCP,58,36051  >  23 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.202974000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3389 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.203041000,172.16.0.8,64.13.134.52,TCP,58,36051  >  139 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.203111000,172.16.0.8,64.13.134.52,TCP,58,36051  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.203176000,172.16.0.8,64.13.134.52,TCP,58,36051  >  5900 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.203241000,172.16.0.8,64.13.134.52,TCP,58,36051  >  587 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.203316000,172.16.0.8,64.13.134.52,TCP,58,36051  >  995 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.203381000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1025 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.203446000,172.16.0.8,64.13.134.52,TCP,58,36051  >  111 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.203514000,172.16.0.8,64.13.134.52,TCP,58,36051  >  199 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.203581000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.203651000,172.16.0.8,64.13.134.52,TCP,58,36051  >  143 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.203716000,172.16.0.8,64.13.134.52,TCP,58,36051  >  443 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.402807000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.402891000,172.16.0.8,64.13.134.52,TCP,58,36050  >  993 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.402958000,172.16.0.8,64.13.134.52,TCP,58,36050  >  110 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.403023000,172.16.0.8,64.13.134.52,TCP,58,36050  >  8080 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.403088000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1720 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.403154000,172.16.0.8,64.13.134.52,TCP,58,36050  >  25 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.403223000,172.16.0.8,64.13.134.52,TCP,58,36050  >  445 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.403289000,172.16.0.8,64.13.134.52,TCP,58,36050  >  256 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.403354000,172.16.0.8,64.13.134.52,TCP,58,36050  >  554 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.403418000,172.16.0.8,64.13.134.52,TCP,58,36050  >  135 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.403484000,172.16.0.8,64.13.134.52,TCP,58,36050  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.403556000,172.16.0.8,64.13.134.52,TCP,58,36050  >  8888 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.403621000,172.16.0.8,64.13.134.52,TCP,58,36050  >  548 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.465661000,64.13.134.52,172.16.0.8,TCP,60,"22  >  36050 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380"
1970-01-01 00:00:01.465899000,64.13.134.52,172.16.0.8,TCP,60,"25  >  36050 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1970-01-01 00:00:01.467781000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1056 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.467852000,172.16.0.8,64.13.134.52,TCP,58,36050  >  10629 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.467916000,172.16.0.8,64.13.134.52,TCP,58,36050  >  2605 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.467980000,172.16.0.8,64.13.134.52,TCP,58,36050  >  10621 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.468045000,172.16.0.8,64.13.134.52,TCP,58,36050  >  990 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.468109000,172.16.0.8,64.13.134.52,TCP,58,36050  >  5414 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.468172000,172.16.0.8,64.13.134.52,TCP,58,36050  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.468240000,172.16.0.8,64.13.134.52,TCP,58,36050  >  6000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.468303000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.468368000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1233 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.468432000,172.16.0.8,64.13.134.52,TCP,58,36050  >  2030 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.468495000,172.16.0.8,64.13.134.52,TCP,58,36050  >  6 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.468565000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1417 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.468629000,172.16.0.8,64.13.134.52,TCP,58,36050  >  8222 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.468692000,172.16.0.8,64.13.134.52,TCP,58,36050  >  683 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.468756000,172.16.0.8,64.13.134.52,TCP,58,36050  >  3050 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.545291000,172.16.0.8,64.13.134.52,TCP,58,36051  >  548 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.545363000,172.16.0.8,64.13.134.52,TCP,58,36051  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.545428000,172.16.0.8,64.13.134.52,TCP,58,36051  >  135 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.545493000,172.16.0.8,64.13.134.52,TCP,58,36051  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.545557000,172.16.0.8,64.13.134.52,TCP,58,36051  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.545622000,172.16.0.8,64.13.134.52,TCP,58,36051  >  445 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.545686000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1720 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.545753000,172.16.0.8,64.13.134.52,TCP,58,36051  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.545822000,172.16.0.8,64.13.134.52,TCP,58,36051  >  110 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.545888000,172.16.0.8,64.13.134.52,TCP,58,36051  >  993 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.545953000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.610282000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3050 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.610353000,172.16.0.8,64.13.134.52,TCP,58,36051  >  683 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.610418000,172.16.0.8,64.13.134.52,TCP,58,36051  >  8222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.610483000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1417 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.610547000,172.16.0.8,64.13.134.52,TCP,58,36051  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.610612000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2030 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.610677000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1233 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.610745000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1687 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.610811000,172.16.0.8,64.13.134.52,TCP,58,36051  >  6000 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.610875000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2222 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.610939000,172.16.0.8,64.13.134.52,TCP,58,36051  >  5414 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.611004000,172.16.0.8,64.13.134.52,TCP,58,36051  >  990 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.611074000,172.16.0.8,64.13.134.52,TCP,58,36051  >  10621 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.611138000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2605 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.611202000,172.16.0.8,64.13.134.52,TCP,58,36051  >  10629 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
